Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2021-11-05,43790,1410.0,1526.0,1387.0,1394.0,0,0,5691900.0,8192646700.0,1.0,1410.0,1526.0,1387.0,1394.0,5691900.0
2021-11-08,43790,1304.0,1318.0,1137.0,1150.0,0,0,2297100.0,2826256100.0,1.0,1304.0,1318.0,1137.0,1150.0,2297100.0
2021-11-09,43790,1151.0,1355.0,1151.0,1262.0,0,0,3310700.0,4225487700.0,1.0,1151.0,1355.0,1151.0,1262.0,3310700.0
2021-11-10,43790,1202.0,1227.0,1156.0,1217.0,0,0,743800.0,887512900.0,1.0,1202.0,1227.0,1156.0,1217.0,743800.0
2021-11-11,43790,1176.0,1330.0,1175.0,1268.0,0,0,811700.0,1027744100.0,1.0,1176.0,1330.0,1175.0,1268.0,811700.0
2021-11-12,43790,1338.0,1368.0,1281.0,1319.0,0,0,618900.0,820250100.0,1.0,1338.0,1368.0,1281.0,1319.0,618900.0
2021-11-15,43790,1298.0,1343.0,1261.0,1330.0,0,0,234500.0,307873700.0,1.0,1298.0,1343.0,1261.0,1330.0,234500.0
2021-11-16,43790,1317.0,1420.0,1300.0,1315.0,0,0,563600.0,762636300.0,1.0,1317.0,1420.0,1300.0,1315.0,563600.0
2021-11-17,43790,1310.0,1420.0,1310.0,1405.0,0,0,348900.0,482933200.0,1.0,1310.0,1420.0,1310.0,1405.0,348900.0
2021-11-18,43790,1379.0,1460.0,1351.0,1386.0,0,0,490600.0,689386100.0,1.0,1379.0,1460.0,1351.0,1386.0,490600.0
2021-11-19,43790,1416.0,1430.0,1323.0,1348.0,0,0,259900.0,356096000.0,1.0,1416.0,1430.0,1323.0,1348.0,259900.0
2021-11-22,43790,1332.0,1335.0,1284.0,1290.0,0,0,172500.0,223981600.0,1.0,1332.0,1335.0,1284.0,1290.0,172500.0
2021-11-24,43790,1275.0,1350.0,1275.0,1336.0,0,0,151500.0,200702600.0,1.0,1275.0,1350.0,1275.0,1336.0,151500.0
2021-11-25,43790,1336.0,1336.0,1252.0,1261.0,0,0,112400.0,145332200.0,1.0,1336.0,1336.0,1252.0,1261.0,112400.0
2021-11-26,43790,1249.0,1260.0,1165.0,1207.0,0,0,179300.0,214638600.0,1.0,1249.0,1260.0,1165.0,1207.0,179300.0
2021-11-29,43790,1150.0,1180.0,1130.0,1135.0,0,0,131600.0,151676900.0,1.0,1150.0,1180.0,1130.0,1135.0,131600.0
2021-11-30,43790,1150.0,1200.0,1113.0,1113.0,0,0,134600.0,155879300.0,1.0,1150.0,1200.0,1113.0,1113.0,134600.0
2021-12-01,43790,1102.0,1139.0,1036.0,1074.0,0,0,143900.0,157317900.0,1.0,1102.0,1139.0,1036.0,1074.0,143900.0
2021-12-02,43790,1053.0,1074.0,1010.0,1010.0,0,0,175300.0,180853100.0,1.0,1053.0,1074.0,1010.0,1010.0,175300.0
2021-12-03,43790,1028.0,1031.0,947.0,950.0,0,0,178100.0,173615100.0,1.0,1028.0,1031.0,947.0,950.0,178100.0
2021-12-06,43790,950.0,1011.0,944.0,959.0,0,0,94500.0,92335000.0,1.0,950.0,1011.0,944.0,959.0,94500.0
2021-12-07,43790,974.0,1025.0,952.0,952.0,0,0,96400.0,94246000.0,1.0,974.0,1025.0,952.0,952.0,96400.0
2021-12-08,43790,952.0,965.0,877.0,877.0,0,0,183400.0,166645800.0,1.0,952.0,965.0,877.0,877.0,183400.0
2021-12-09,43790,882.0,949.0,868.0,925.0,0,0,109300.0,99092600.0,1.0,882.0,949.0,868.0,925.0,109300.0
2021-12-10,43790,922.0,926.0,862.0,863.0,0,0,79100.0,70186500.0,1.0,922.0,926.0,862.0,863.0,79100.0
2021-12-13,43790,860.0,866.0,789.0,800.0,0,0,147700.0,120285400.0,1.0,860.0,866.0,789.0,800.0,147700.0
2021-12-14,43790,785.0,800.0,754.0,763.0,0,0,124500.0,96023800.0,1.0,785.0,800.0,754.0,763.0,124500.0
