Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2025-06-20,365A0,765.0,834.0,745.0,824.0,0,0,9330000.0,7228811200.0,1.0,765.0,834.0,745.0,824.0,9330000.0
2025-06-23,365A0,780.0,830.0,765.0,795.0,0,0,4086600.0,3275970800.0,1.0,780.0,830.0,765.0,795.0,4086600.0
2025-06-24,365A0,840.0,894.0,770.0,779.0,0,0,7057700.0,5792446200.0,1.0,840.0,894.0,770.0,779.0,7057700.0
2025-06-25,365A0,776.0,781.0,725.0,741.0,0,0,1789900.0,1341251400.0,1.0,776.0,781.0,725.0,741.0,1789900.0
2025-06-26,365A0,740.0,755.0,720.0,723.0,0,0,646800.0,476055900.0,1.0,740.0,755.0,720.0,723.0,646800.0
2025-06-27,365A0,735.0,745.0,720.0,721.0,0,0,403200.0,293668700.0,1.0,735.0,745.0,720.0,721.0,403200.0
2025-06-30,365A0,725.0,744.0,720.0,722.0,0,0,407800.0,297422600.0,1.0,725.0,744.0,720.0,722.0,407800.0
2025-07-01,365A0,725.0,744.0,722.0,734.0,0,0,350200.0,257225900.0,1.0,725.0,744.0,722.0,734.0,350200.0
2025-07-02,365A0,730.0,733.0,722.0,724.0,0,0,199900.0,145229700.0,1.0,730.0,733.0,722.0,724.0,199900.0
2025-07-03,365A0,731.0,748.0,728.0,745.0,0,0,232000.0,170604900.0,1.0,731.0,748.0,728.0,745.0,232000.0
2025-07-04,365A0,748.0,763.0,734.0,742.0,0,0,411000.0,308918500.0,1.0,748.0,763.0,734.0,742.0,411000.0
2025-07-07,365A0,745.0,775.0,744.0,756.0,0,0,392500.0,298487300.0,1.0,745.0,775.0,744.0,756.0,392500.0
2025-07-08,365A0,756.0,765.0,748.0,763.0,0,0,139500.0,105678000.0,1.0,756.0,765.0,748.0,763.0,139500.0
2025-07-09,365A0,767.0,788.0,760.0,785.0,0,0,191400.0,147598800.0,1.0,767.0,788.0,760.0,785.0,191400.0
2025-07-10,365A0,780.0,788.0,761.0,765.0,0,0,222200.0,171143500.0,1.0,780.0,788.0,761.0,765.0,222200.0
2025-07-11,365A0,772.0,780.0,724.0,753.0,0,0,1250600.0,931077600.0,1.0,772.0,780.0,724.0,753.0,1250600.0
2025-07-14,365A0,623.0,664.0,604.0,645.0,0,0,3806000.0,2395672200.0,1.0,623.0,664.0,604.0,645.0,3806000.0
2025-07-15,365A0,645.0,652.0,625.0,633.0,0,0,572800.0,362622100.0,1.0,645.0,652.0,625.0,633.0,572800.0
2025-07-16,365A0,627.0,632.0,616.0,617.0,0,0,350900.0,217765800.0,1.0,627.0,632.0,616.0,617.0,350900.0
2025-07-17,365A0,617.0,643.0,617.0,632.0,0,0,237300.0,149446300.0,1.0,617.0,643.0,617.0,632.0,237300.0
2025-07-18,365A0,628.0,633.0,613.0,613.0,0,0,249700.0,154706800.0,1.0,628.0,633.0,613.0,613.0,249700.0
2025-07-22,365A0,611.0,619.0,608.0,614.0,0,0,151200.0,92356400.0,1.0,611.0,619.0,608.0,614.0,151200.0
2025-07-23,365A0,610.0,614.0,606.0,610.0,0,0,163300.0,99597300.0,1.0,610.0,614.0,606.0,610.0,163300.0
2025-07-24,365A0,612.0,615.0,609.0,609.0,0,0,133100.0,81316600.0,1.0,612.0,615.0,609.0,609.0,133100.0
2025-07-25,365A0,610.0,620.0,610.0,620.0,0,0,114300.0,70363200.0,1.0,610.0,620.0,610.0,620.0,114300.0
2025-07-28,365A0,626.0,627.0,618.0,620.0,0,0,91800.0,57150200.0,1.0,626.0,627.0,618.0,620.0,91800.0
2025-07-29,365A0,622.0,644.0,621.0,643.0,0,0,244000.0,155345600.0,1.0,622.0,644.0,621.0,643.0,244000.0
2025-07-30,365A0,647.0,687.0,647.0,687.0,0,0,602300.0,404268500.0,1.0,647.0,687.0,647.0,687.0,602300.0
